Test Type,Corruption/Noise,Severity/Level,Accuracy
Corruption,gaussian_noise,1.0,0.6666666666666666
Corruption,gaussian_noise,2.0,0.6666666666666666
Corruption,gaussian_noise,3.0,0.3333333333333333
Corruption,gaussian_noise,4.0,0.3333333333333333
Corruption,gaussian_noise,5.0,0.3333333333333333
Corruption,motion_blur,1.0,0.6666666666666666
Corruption,motion_blur,2.0,0.6666666666666666
Corruption,motion_blur,3.0,0.6666666666666666
Corruption,motion_blur,4.0,0.6666666666666666
Corruption,motion_blur,5.0,0.6666666666666666
Corruption,contrast,1.0,0.3333333333333333
Corruption,contrast,2.0,0.3333333333333333
Corruption,contrast,3.0,0.3333333333333333
Corruption,contrast,4.0,0.3333333333333333
Corruption,contrast,5.0,0.3333333333333333
Corruption,pixelate,1.0,0.0
Corruption,pixelate,2.0,0.0
Corruption,pixelate,3.0,0.0
Corruption,pixelate,4.0,0.0
Corruption,pixelate,5.0,0.0
Noise,Clinical,0.0,0.6666666666666666
Noise,Clinical,0.1,0.6666666666666666
Noise,Clinical,0.2,0.6666666666666666
Noise,Clinical,0.3,0.6666666666666666
Noise,Clinical,0.4,0.6666666666666666
Noise,Clinical,0.5,0.6666666666666666
Noise,Clinical,0.6,0.6666666666666666
Noise,Clinical,0.7,0.6666666666666666
Noise,Clinical,0.8,0.3333333333333333
Noise,Dermoscopic,0.0,0.6666666666666666
Noise,Dermoscopic,0.1,0.6666666666666666
Noise,Dermoscopic,0.2,0.3333333333333333
Noise,Dermoscopic,0.3,0.3333333333333333
Noise,Dermoscopic,0.4,0.0
Noise,Dermoscopic,0.5,0.0
Noise,Dermoscopic,0.6,0.0
Noise,Dermoscopic,0.7,0.0
Noise,Dermoscopic,0.8,0.0
